ControllerManager	Instance	Manages simulated motion control for its assigned `Class.ControllerManager.RootPart` .
ControllerPartSensor	ControllerSensor	A `Class.SensorBase` that outputs data about another `Class.BasePart` based on `Class.Humanoid` floor and ladder detection logic.
ControllerSensor	SensorBase	
ControllerService	Instance	Container class for the `Class.HumanoidController` among other classes.
CookiesService	Instance	A backend service used by Roblox to control HTTP cookies. Its functions are not available to developers.
CoreGui	BasePlayerGui	The CoreGui is a service used to store Guis created in-game by Roblox for the core user interface found in every game (such as the game menu, the playerlist, the backpack, etc.). It can also be used by `Class.Plugin|Plugins` in Roblox Studio.
CoreGuiConfiguration	Instance	
CoreScriptDebuggingManagerHelper	Instance	
CornerWedgePart	BasePart	
CreatorStoreService	Instance	
CurveAnimation	AnimationClip	Stores animation data in the form of curves for each individual channel to animate.
CustomEvent	Instance	
CustomEventReceiver	Instance	
CustomLog	Instance	
CylinderHandleAdornment	HandleAdornment	A cylinder-shaped handle that can be adorned to a `Class.BasePart`.
CylinderMesh	BevelMesh	The CylinderMesh object applies a 'cylinder' mesh to the `Class.BasePart` it is parented to.
CylindricalConstraint	SlidingBallConstraint	Constrains two attachments on two parts to have a relative linear and rotational motion.
DataModel	ServiceProvider	The root of Roblox's parent-child hierarchy. Its direct children are services, such as `Class.Workspace` and `Class.Lighting`, that act as the fundamental components of a Roblox game.
DataModelMesh	Instance	The DataModelMesh is an abstract class from which mesh classes descend.
DataModelSession	Instance	
DataStore	GlobalDataStore	
DataStoreGetOptions	Instance	
DataStoreIncrementOptions	Instance	Specifies additional parameters for a `Class.GlobalDataStore:IncrementAsync()` call.
DataStoreInfo	Instance	Object describing data store information.
DataStoreKey	Instance	Object representing a key on a `Class.DataStoreKeyPages` object.
DataStoreKeyInfo	Instance	An object specifying information about a particular version of the key.
DataStoreKeyPages	Pages	A special type of `Class.Pages` object whose pages contain `Class.DataStoreKey` instances.
DataStoreListingPages	Pages	A special type of `Class.Pages` object whose pages contain `Class.DataStoreInfo` instances.
DataStoreObjectVersionInfo	Instance	An instance describing version information for a key.
DataStoreOptions	Instance	Object used to provide additional parameters to `Class.DataStoreService:GetDataStore()`.
DataStorePages	Pages	A `Class.Pages` object that allows iteration through `Class.OrderedDataStore` key/value pairs.
DataStoreService	Instance	A game service that gives access to persistent data storage across places in a game.
DataStoreSetOptions	Instance	Specifies additional parameters for a `Class.GlobalDataStore:SetAsync()` call.
DataStoreVersionPages	Pages	A special type of `Class.Pages` object whose pages contain `Class.DataStoreObjectVersionInfo` instances.
Debris	Instance	Allows scheduling the guaranteed destruction of an object without yielding.
DebugSettings	Instance	Collection of various developer-facing diagnostics information.
Decal	FaceInstance	Applies an image texture to a face of a parent `Class.BasePart`.
DepthOfFieldEffect	PostEffect	Simulates a camera lens by blurring parts of a scene not in focus.
Dialog	Instance	Creates NPC billboard-style dialog bubbles.
DialogChoice	Instance	Used to craft the further choices available to players who have started a dialog conversation with an NPC.
DigitsRigDescription	Instance	
DistortionSoundEffect	SoundEffect	Distorts audio, making it sound fuzzier and overdriven.
DockWidgetPluginGui	PluginGui	
DoubleConstrainedValue	ValueBase	An instance which is used to create a number value which can never be less than the MinValue or more than the MaxValue.
DraftsService	Instance	
DragDetector	ClickDetector	Instance which facilitates and encourages interaction with 3D objects in an experience.
Dragger	Instance	A helper object used to create tools that can drag parts.
DraggerService	Instance	
DynamicRotate	JointInstance	The base class for classic motor joints.
EchoSoundEffect	SoundEffect	Adds delayed repetitions of a sound with diminishing volume.
EditableImage	Object	Object which allows for the runtime creation and manipulation of images.
EditableMesh	Object	Object which allows for the runtime creation and manipulation of meshes.
EncodingService	Instance	Service providing common encoding, hashing, and compression methods.
EqualizerSoundEffect	SoundEffect	Controls the volume of incoming audio across three frequency ranges.
EulerRotationCurve	Instance	Represents a 3D rotation curve through a group of three `Class.FloatCurve|FloatCurves`.
ExperienceInviteOptions	Instance	Used to customize a player invite prompt.
ExperienceNotificationService	Instance	Service containing methods to validate users and prompt them to enable experience notifications.
Explosion	Instance	Applies force to `Class.BasePart|BaseParts` within the explosion's `Class.Explosion.BlastRadius`. Breaks `Class.JointInstance|JointInstances` and `Class.WeldConstraint|WeldConstraints` between parts and kills `Class.Humanoid` characters not protected by a `Class.ForceField`.
FaceControls	Instance	The `Class.FaceControls` object defines a set of properties for controlling the facial expressions of a Dynamic Head.
FaceInstance	Instance	An abstract class from which the `Class.Decal` and `Class.Texture` classes inherit.
Feature	Instance	The base class for the legacy motor system.
FeatureRestrictionManager	Instance	
File	Instance	An asset loaded from a file on disk.
FileMesh	DataModelMesh	The FileMesh object applies a mesh to a `Class.BasePart` when parented to it. Its properties are inherited by the `Class.SpecialMesh` object.
Fire	Instance	A preconfigured particle emitter with the visual aesthetic of fire.
Flag	Tool	The Flag object helps you make 'capture the flag' style games.
FlagStand	Part	The FlagStand object helps you make 'capture the flag' style games.
FlagStandService	Instance	An internal service responsible for handling the now deprecated `Class.FlagStand` and `Class.Flag` objects.
FlangeSoundEffect	SoundEffect	Creates a sweeping or swooshing effect on a sound.
FloatCurve	Instance	A sorted list of time-value pairs that define a curve. Used to animate a single numerical value.
FloorWire	GuiBase3d	A FloorWire attempts to make a wire from two of its properties: `Class.FloorWire.From` and `Class.FloorWire.From`, which both need to be set to a `Class.BasePart`.
FluidForceSensor	SensorBase	A `Class.SensorBase` that outputs `Class.FluidForceSensor.Force|Force`, `Class.FluidForceSensor.Torque|Torque` and `Class.FluidForceSensor.CenterOfPressure|CenterOfPressure`.
Folder	Instance	A simple container used to hold and organize Roblox instances.
ForceField	Instance	Protects a `Class.Humanoid` from taking damage dealt through the `Class.Humanoid:TakeDamage()` method and protects `Class.BasePart|BaseParts` from having their joints broken due to an `Class.Explosion`.
FormFactorPart	BasePart	The FormFactorPart class is an abstract class. It inherits from the BasePart class and adds the FormFactor property to classes that inherit from it.
Frame	GuiObject	A `Class.GuiObject` that renders as a plain rectangle, generally used as a container.
FriendPages	Pages	A special version of `Class.Pages` that contains information about a player's friends.
FriendService	Instance	An internal service which is used to send, cancel, accept and decline friend requests in-game.
FunctionalTest	Instance	
GamepadService	Instance	The GamepadService is internally responsible for handling inputs from various controllers, such as Xbox One or PlayStation DualShock controllers.
GamePassService	Instance	A service associated with the legacy game pass system. Use `Class.MarketplaceService` for all new work.
GameSettings	Instance	A container for miscellaneous in-game options.
GeneratedFolder	Folder	A container that stores `Class.ProceduralModel` generation results.
GenerationService	Instance	Service that allows developers to generate 3D objects from text prompts.
GenericChallengeService	Instance	
GenericSettings	ServiceProvider	The abstract class for settings database classes.
Geometry	Instance	An internal Roblox service which cannot be used by developers.
GeometryService	Instance	Service containing geometric operations.
GetTextBoundsParams	Instance	Use with `Class.TextService:GetTextBoundsAsync()` to measure the size of text.
GlobalDataStore	Instance	An object that exposes methods to access a single data store.
GlobalSettings	GenericSettings	Collection of menu settings for Roblox Studio.
Glue	JointInstance	Glue is a type of joint that can break when enough force is applied.
GroundController	ControllerBase	
GroupService	Instance	GroupService is a service that allows developers to fetch information about a Roblox group from within a game.
GuiBase	Instance	GuiBase is an abstract class which most graphical user interface objects inherit from.
GuiBase2d	GuiBase	An abstract class inherited by 2D `Class.GuiObject|GuiObjects`.
GuiBase3d	GuiBase	An abstract class for 3D GUI elements that are rendered in the world.
GuiButton	GuiObject	An abstract class for interactive 2D user interface elements.
GuidRegistryService	Instance	An internal service, whose functionality is not accessible to developers.
GuiLabel	GuiObject	An abstract class for non-interactive 2D user interface elements.
GuiMain	ScreenGui	The original name of the `Class.ScreenGui`.
GuiObject	GuiBase2d	An abstract class for all 2D user interface objects.
GuiService	Instance	Offers numerous properties and methods for working with `Class.GuiObject|GuiObjects`, player preferences, and other UI‑related tasks.
HandleAdornment	PVAdornment	An abstract class inherited by 3D handle adornments.
Handles	HandlesBase	Places 3D handles around any object that its `Class.Handles.Adornee|Adornee` is set to.
HandlesBase	PartAdornment	An abstract class for Handle objects, such as `Class.ArcHandles` and `Class.Handles`.
HapticEffect	Instance	
HapticService	Instance	Provides haptic feedback to controllers and devices.
Hat	Accoutrement	
HeapProfilerService	Instance	
HeightmapImporterService	Instance	
HiddenSurfaceRemovalAsset	Instance	
Highlight	Instance	A visual effect which you can use to call attention to a specific object within an experience.
HingeConstraint	Constraint	Constrains its attachments to rotate about a single axis.
Hint	Message	A Hint is an object that creates a small black bar at the very top of the screen with text.
Hole	Feature	
Hopper	Instance	Hopper is the original name of the StarterPack service.
HopperBin	BackpackItem	
HSRDataContentProvider	CacheableContentProvider	
HttpRbxApiService	Instance	An internal service whose functionality is not available to developers.
HttpService	Instance	Allows sending HTTP requests and provides various web-related and JSON methods.
Humanoid	Instance	A special object that gives models the functionality of a character.
HumanoidController	Controller	
HumanoidDescription	Instance	Describes the appearance of a Humanoid character including body parts, accessories, colors, scales, animations, and emotes.
HumanoidRigDescription	Instance	
IKControl	Instance	Specifies a control to generate a procedural animation pose using Inverse Kinematics.
ILegacyStudioBridge	Instance	
ImageButton	GuiButton	A 2D user interface element that displays an interactive image.
ImageHandleAdornment	HandleAdornment	An image handle that can be adorned to a `Class.BasePart`.
ImageLabel	GuiLabel	A 2D user interface element that displays a single non-interactive image.
IncrementalPatchBuilder	Instance	
InputAction	Instance	Defines a gameplay action mechanic. These actions are then mapped to hardware inputs using `Class.InputBinding`.
InputBinding	Instance	Defines which hardware binding should trigger the parent `Class.InputAction`.
InputContext	Instance	Collection of actions which holds related actions and defines how they interact with other contexts/actions.
InputObject	Instance	An object created when an input begins that describes a particular user input.
InsertService	Instance	Used to insert assets from the Roblox website.
Instance	Object	`Instance` is the base class for all classes in the Roblox class hierarchy which can be part of the `Class.DataModel` tree.
InstanceAdornment	GuiBase3d	A base class for all objects that adorn `Class.Instance` classes.
InstanceFileSyncService	Instance	A service for interacting with file sync from a plugin.
IntConstrainedValue	ValueBase	An IntConstrainedValue is used to store a value which can never be less than MinValue and can never be more than MaxValue.
IntersectOperation	PartOperation	Result of parts that have been intersected into a single solid model.
IntValue	ValueBase	A container object for a single integer.
InventoryPages	Pages	
JointInstance	Instance	The base class for joints.
JointsService	Instance	A service that stores joints created by surface connections.
KeyboardService	Instance	
Keyframe	Instance	A Keyframe holds the `Class.Pose|Poses` applied to joints in a `Class.Model` at a given point of time in an animation. `Class.Keyframe|Keyframes` are interpolated between during animation playback.
KeyframeMarker	Instance	An instance meant to represent an event that will eventually be fired when a `Class.Keyframe` is hit.
KeyframeSequence	AnimationClip	This object stores all of the `Class.Keyframe|Keyframes` and other data for the animation.
KeyframeSequenceProvider	Instance	Provides functions to load and preview `Class.KeyframeSequence`.
LayerCollector	GuiBase2d	The base class of 2D UI containers which render `Class.GuiObject|GuiObjects` in layers.
Light	Instance	Light is a root class for dynamic lighting related objects.
Lighting	Instance	The `Lighting` service controls global lighting in an experience. It includes a range of adjustable properties that you can use to change how lighting appears and interacts with other objects.
LinearVelocity	Constraint	Applies force on an assembly to maintain a constant linear velocity.
LineForce	Constraint	Applies a force along the theoretical line connecting its two `Class.Attachment|Attachments`.
LineHandleAdornment	HandleAdornment	A line-shaped handle that can be adorned to a `Class.BasePart`.
LocalizationService	Instance	Handles automated translation.
LocalizationTable	Instance	A LocalizationTable is a database of translations. It contains source strings and translations for various languages.
LocalScript	Script	An object that contains and runs Luau code on the client (player's device) instead of the server.
LoginService	Instance	An internal service whose functionality is not available to developers.
LogService	Instance	A service that allows you to read outputted text.
LuaSettings	Instance	
LuaSourceContainer	Instance	The base class for all objects which contain Luau code.
LuaWebService	Instance	An internal service, which is responsible for retrieving HTTP data from websites. Used by a range of services, including `Class.MarketplaceService`, `Class.InsertService` and `Class.HttpService`. Its functions cannot be accessed by developers.
MakeupDescription	Instance	Describes the appearance of a makeup item for the `Class.HumanoidDescription`.
ManualGlue	ManualSurfaceJointInstance	ManualGlue is a joint created in a similar manner to the `Class.ManualWeld` class. It functions identically to the `Class.Glue` class.
ManualSurfaceJointInstance	JointInstance	ManualSurfaceJointInstance is the base class for `Class.ManualGlue` and `Class.ManualWeld`.
ManualWeld	ManualSurfaceJointInstance	Holds two parts together and functions identically to `Class.Weld`.
MarkerCurve	Instance	Represents a list of strings markers in chronological order.
MarketplaceService	Instance	The service responsible for in-experience transactions.
MatchmakingService	Instance	The service responsible for managing custom matchmaking data.
MaterialService	Instance	The game service responsible for managing materials.
MaterialVariant	Instance	Represent a variant of a Material.
MemoryStoreHashMap	Instance	Provides access to a hash map within `Class.MemoryStoreService`.
MemoryStoreHashMapPages	Pages	A special type of `Class.Pages` object whose pages contain key-value pairs from a `Class.MemoryStoreHashMap`.
MemoryStoreQueue	Instance	Provides access to a queue within MemoryStore.
MemoryStoreService	Instance	Exposes methods to access specific primitives within MemoryStore.
MemoryStoreSortedMap	Instance	Provides access to a sorted map within `Class.MemoryStoreService`.
MemStorageConnection	Instance	
MemStorageService	Instance	
MeshContentProvider	CacheableContentProvider	An internal Roblox service that is responsible for fetching, parsing and caching meshes. This service cannot be used by developers.
MeshPart	TriangleMeshPart	A form of `Class.BasePart` that includes a physically simulated custom mesh.
Message	Instance	Fills the entire screen with a semi-transparent grey background, with centered text in the middle of the screen.
MessagingService	Instance	Allows servers of the same experience to communicate with each other.
MicroProfilerService	Instance	
MLService	Instance	
MLSession	Object	
Model	PVInstance	Models are container objects, meaning they group objects together. They are best used to hold collections of `Class.BasePart|BaseParts` and have a number of functions that extend their functionality.
ModerationService	Instance	
ModuleScript	LuaSourceContainer	A script type that runs once when `Global.LuaGlobals.require()` is called with it. Returns exactly one value, usually a table of functions, to used by other scripts. Useful for compartmentalizing code.
Motor	JointInstance	Makes a movable `Class.JointInstance` between two parts.
Motor6D	Motor	Creates an animatable joint between two `Class.BasePart|BaseParts`.
MotorFeature	Feature	
Mouse	Instance	Legacy object that contains members useful for pointer input.
MouseService	Instance	
MultipleDocumentInterfaceInstance	Instance	
NegateOperation	PartOperation	Result of a part that has been negated for use in solid modeling.
NetworkClient	NetworkPeer	
NetworkMarker	Instance	The NetworkMarker is used to tell the client when the server has finished loading the world for the client.
NetworkPeer	Instance	The `NetworkPeer` object is the most basic class of the network objects.
NetworkReplicator	Instance	An object which handles the replication of other objects either from the server to the client, or from the client to the server.
NetworkServer	NetworkPeer	
NetworkSettings	Instance	Settings related to networked engine behaviors.
NoCollisionConstraint	Instance	An instance used to prevent collisions between two specific parts.
NotificationService	Instance	An internal service which cannot be used by developers.
NumberPose	PoseBase	Holds the value applied to a specific FACS control.
NumberValue	ValueBase	A container object for a single double-precision floating point number.
Object		`Object` is the base class for all classes in the Roblox class hierarchy.
ObjectValue	ValueBase	A container object for a reference to another instance.
OpenCloudApiV1	Instance	
OpenCloudService	Instance	
OrderedDataStore	GlobalDataStore	A GlobalDataStore that also allows for ordered data store entries.
OutfitPages	Pages	The `OutfitPages` class is used in the case of iterating over a user's outfits.
PackageLink	Instance	Links a `Class.DataModel` instance to a corresponding asset in the cloud.
PackageService	Instance	
Pages	Instance	An abstract class for pages objects.
Pants	Clothing	Displays a Pants texture from the Roblox website to display on a `Class.Humanoid` rig.
Part	FormFactorPart	A common type of `Class.BasePart` that comes in different primitive shapes.
PartAdornment	GuiBase3d	An abstract class for GUI elements that are adorned to (displayed as attached to) objects deriving from `Class.BasePart`.
ParticleEmitter	Instance	A special object that emits customizable 2D particles into the world.
PartOperation	TriangleMeshPart	An abstract class that all parts based on solid modeling inherit from.
PartOperationAsset	Instance	An internal service which cannot be used by developers.
PatchBundlerFileWatch	Instance	
PatchMapping	Instance	
Path	Instance	Stores the result of paths created by `Class.PathfindingService:CreatePath()`.
Path2D	GuiBase	
PathfindingLink	Instance	Connects two locations which otherwise by default are unconnected.
PathfindingModifier	Instance	Modifiers used to represent space that has a higher or lower cost to be traversed when creating paths using `Class.PathfindingService`.
PathfindingService	Instance	Used to find logical paths between two points.
PermissionsService	Instance	
PhysicsService	Instance	
PhysicsSettings	Instance	
PitchShiftSoundEffect	SoundEffect	Adjusts the pitch of a sound without changing its playback speed.
PlacesService	Instance	
Plane	PlaneConstraint	Constrains Attachment0 and Attachment1 such that both points lie in a plane with origin at Attachment0's position and unit normal vector equal to Attachment0's primary axis.
PlaneConstraint	Constraint	Moves its attachments into a position/orientation along a plane whose normal vector is the primary axis of `Class.Constraint.Attachment0|Attachment0`.
Platform	Part	Historically a form of `Class.Seat` that wouldn't place the player in a sitting pose. This object is no longer create-able and cannot be used by developers.
Player	Instance	An object that represents a presently connected client to the experience.
PlayerGui	BasePlayerGui	A container that holds a player's UI.
PlayerListConfiguration	BaseCoreGuiConfiguration	
PlayerMouse	Mouse	The PlayerMouse behaves identically to the `Class.Mouse` object that is obtained using `Class.Tool.Equipped`. Both PlayerMouse and `Class.Mouse` are legacy APIs, superseded by `Class.UserInputService`.
Players	Instance	A service that contains presently connected `Class.Player` objects.
PlayerScripts	Instance	A container for client-side scripts to be run inside `Class.Player` objects within the `Class.Players` service.
PlayerViewService	Instance	Provides a way to get additional information about a player's view.
Plugin	Instance	
PluginAction	Instance	
PluginCapabilities	Instance	
PluginConnection	Object	Encapsulates a connection between the current data model and another for plugin communication.
PluginConnectionService	Instance	This service is used by plugins to communicate with other instances of themselves running in other data models.
PluginDebugService	Instance	
PluginDragEvent	Instance	
PluginGui	LayerCollector	
PluginGuiService	Instance	A service that stores `Class.PluginGui` objects to be displayed in Roblox Studio.
PluginManagementService	Instance	
PluginManager	Instance	
PluginManagerInterface	Instance	
PluginMenu	Instance	A context menu that can be shown in Studio. Displays a list of `Class.PluginAction|PluginActions` and supports submenus.
PluginMouse	Mouse	The PluginMouse object gives `Class.Plugin|Plugins` access to the mouse. It works like the `Class.Mouse` object and can be obtained using the plugin `Class.Plugin:GetMouse()` method.
PluginToolbar	Instance	
PluginToolbarButton	Instance	
PointLight	Light	A light source that emits illumination from a single point.
